question,answer,result
the last time la dodgers won the world series,2020,2020
who sings ain't nothing but a good time,Poison,Poison
where does the movie the sound of music take place,"Salzburg, Austria,Austria",Salzburg
statue coming out of the ground in washington dc,The Awakening,Abraham Lincoln
field hockey is the national sport of which country,Pakistan,Pakistan
who governs in america’s representative democracy (republic) system,Senators,The people
who is the song you're my best friend about,Veronica Tetzlaff,QueenFreddie Mercury
where was the church of latter day saints founded,"April 6, 1830,western New York",New York
who os the father of bridget jones baby,Mark,Mark Darcy
who is the nationalist leader associated with the american revolution,"George Washington,Thomas Paine",George Washington
what color is the president of south koreas house,Blue,Blue
who is the security general of the un,António Guterres,António Guterres
who won the first season of the rap game,Miss Mulatto,Lil Pimp
actor who played tommy in terms of endearment,"Troy Bishop,Shane Sherwin",Anthony Perkins
when did early voting start in the us,1992,1845
list of longest running tv shows in india,"Abhhishekam,Rannaghor,Rasoi Show,Olimayamana Ethirkaalam,Didi No. 1,Munshi,Star Mahila",Yeh Hai Mohabbatein
who wrote i will be home for christmas,"Walter Kent,Kim Gannon,composer Walter Kent,lyricist Kim Gannon",Irving Berlin
icc world cup outside england first time sponsor,"Prudential plc,Pakistan,India and Pakistan,India",Reliance Industries
when is the draw for the european championships 2020,"2 December 2018,1 December 2019",December 2nd 2019
who plays the medical examiner on hawaii five-o,Masi Oka,Katrina Law
which piece of legislation placed the protections in the european convention on human rights,Council of Europe,Human Rights Act 1998
who sang vande maataram in 1896 congress session,Rabindranath Tagore,Vande Mataram was sung by Hemendranath Tagore in 1896 Congress session
who were the sponsor of the icc world cup when it was hosted outside england for the first time,"Prudential plc,Pakistan,India",State Bank of India
what is the most uneducated state in america,"California,West Virginia",West Virginia
who makes the most tires in the world,"Lego tire,Lego",Bridgestone
who argued with congress during the early years of reconstruction,"Johnson,U.S. President Andrew Johnson,Lincoln",Andrew Johnson
in humans what determines the gender of the offspring,"the sex hormones,the external genitalia,the type of gonads",Chromosomes
when did rolex daytona stop using zenith movement,1975,2016
what is the song shine bright like a diamond about,a prominent concept of love,Rihanna
what does the valley mean in los angeles,"San Fernando Valley,The San Fernando Valley",San Fernando Valley
what time period is a league of their own,"1988,1943",1940s
when was harry potter and the deathly hallows part 2 movie released,"13–15 July 2011,15 July 2011,July 2011",July152011
the man in the high castle who is he,Hawthorne Abendsen,Philip K Dick
what was the last episode of inspector morse,"\The Remorseful Day\,The Remorseful Day",The Riddle of the Ingenious Gentleman
who sings this crazy little thing called love,British rock band Queen,Quincy Jones
which console to get red dead redemption 2,"PlayStation 4,Xbox One",PlayStation 4
